Sample,plant.ID,Target,Cq,group,,,
I.GFP.23.2nd,GFP 23,ACT7,19.53893456,2nd,,,
I.GFP.24.2nd,GFP 24,ACT7,21.31140979,2nd,,,
I.GFP.25.4th,GFP 25,ACT7,20.94867805,4th,,,
I.GFP.26.4th,GFP 26,ACT7,21.64340221,4th,,,
I.GFP.27.2nd,GFP 27,ACT7,22.30258402,2nd,,,
I.GFP.27.4th,GFP 27,ACT7,21.17156622,4th,,,
I.GFP.4.4th,GFP 4,ACT7,22.88035385,4th,,,
I.GFP.5.2nd,GFP 5,ACT7,21.4365002,2nd,,,
I.GFP.7.2nd,GFP 7,ACT7,20.37771805,2nd,,,
I.GFP.8.4th,GFP 8,ACT7,23.11041137,4th,,,
I.GFP.9.2nd,GFP 9,ACT7,21.40238773,2nd,,,
I.GFP.9.4th,GFP 9,ACT7,20.9537431,4th,,,
I.Unif.1.2nd,Unif 1,ACT7,22.88031614,2nd,,,
I.Unif.1.4th,Unif 1,ACT7,21.06256264,4th,,,
I.Unif.11.2nd,Unif 11,ACT7,21.13567318,2nd,,,
I.Unif.12.2nd,Unif 12,ACT7,21.72836347,2nd,,,
I.Unif.12.4th,Unif 12,ACT7,22.92442212,4th,,,
I.Unif.13.2nd,Unif 13,ACT7,22.27360775,2nd,,,
I.Unif.15.2nd,Unif 15,ACT7,21.26551819,2nd,,,
I.Unif.18.2nd,Unif 18,ACT7,20.45330671,2nd,,,
I.Unif.19.2nd,Unif 19,ACT7,20.91594481,2nd,,,
I.Unif.2.4th,Unif 2,ACT7,20.98599027,4th,,,
I.Unif.20.2nd,Unif 20,ACT7,21.49909309,2nd,,,
I.Unif.23.2nd,Unif 23,ACT7,22.43743384,2nd,,,
I.Unif.24.2nd,Unif 24,ACT7,23.69073259,2nd,,,
I.Unif.3.2nd,Unif 3,ACT7,20.28574997,2nd,,,
I.Unif.7.2nd,Unif 7,ACT7,20.52182624,2nd,,,
I.Unif.7.4th,Unif 7,ACT7,20.80864361,4th,,,
I.Unif.8.2nd,Unif 8,ACT7,22.20705562,2nd,,,
I.Unif.9.2nd,Unif 9,ACT7,20.50283714,2nd,,,
Unif.21.2nd,21 2nd,ACT7,21.00451792,2nd,,,
I.GFP.10.2nd,GFP 10,ACT7,19.7046568,2nd,,,
I.GFP.12.2nd,GFP 12,ACT7,21.2885002,2nd,,,
I.GFP.13.2nd,GFP 13,ACT7,20.64527204,2nd,,,
