Sample	Detector	vigs_condition	aphid_status	leaf	dpi
I.Unif.20.2nd	TMN5	uninfiltrated	unifested	2nd	twenty-one
I.Unif.23.2nd	TMN5	uninfiltrated	unifested	2nd	fourteen
I.Unif.24.2nd	TMN5	uninfiltrated	unifested	2nd	twenty-one
I.Unif.3.2nd	TMN5	uninfiltrated	unifested	2nd	fourteen
I.Unif.7.2nd	TMN5	uninfiltrated	unifested	2nd	fourteen
I.Unif.7.4th	TMN5	uninfiltrated	unifested	4th	fourteen
I.Unif.8.2nd	TMN5	uninfiltrated	unifested	2nd	twenty-one
I.Unif.9.2nd	TMN5	uninfiltrated	infested	2nd	fourteen
Unif.21.2nd	TMN5	uninfiltrated	infested	2nd	fourteen
I.Unif.1.2nd	UBQ14	uninfiltrated	infested	2nd	fourteen
I.Unif.1.4th	UBQ14	uninfiltrated	infested	4th	fourteen
I.Unif.11.2nd	UBQ14	uninfiltrated	unifested	2nd	fourteen
I.Unif.12.2nd	UBQ14	uninfiltrated	unifested	2nd	twenty-one
I.Unif.12.4th	UBQ14	uninfiltrated	unifested	4th	twenty-one
I.Unif.13.2nd	UBQ14	uninfiltrated	infested	2nd	fourteen
I.Unif.15.2nd	UBQ14	uninfiltrated	unifested	2nd	fourteen
I.Unif.18.2nd	UBQ14	uninfiltrated	infested	2nd	twenty-one
I.Unif.19.2nd	UBQ14	uninfiltrated	unifested	2nd	fourteen
I.Unif.2.4th	UBQ14	uninfiltrated	infested	4th	twenty-one
I.Unif.20.2nd	UBQ14	uninfiltrated	unifested	2nd	twenty-one
I.Unif.23.2nd	UBQ14	uninfiltrated	unifested	2nd	fourteen
I.Unif.24.2nd	UBQ14	uninfiltrated	unifested	2nd	twenty-one
I.Unif.3.2nd	UBQ14	uninfiltrated	unifested	2nd	fourteen
I.Unif.7.2nd	UBQ14	uninfiltrated	unifested	2nd	fourteen
I.Unif.7.4th	UBQ14	uninfiltrated	unifested	4th	fourteen
I.Unif.8.2nd	UBQ14	uninfiltrated	unifested	2nd	twenty-one
I.Unif.9.2nd	UBQ14	uninfiltrated	infested	2nd	fourteen
Unif.21.2nd	UBQ14	uninfiltrated	infested	2nd	fourteen
I.Unif.1.2nd	UBQ7	uninfiltrated	infested	2nd	fourteen
I.Unif.1.4th	UBQ7	uninfiltrated	infested	4th	fourteen
I.Unif.11.2nd	UBQ7	uninfiltrated	unifested	2nd	fourteen
I.Unif.12.2nd	UBQ7	uninfiltrated	unifested	2nd	twenty-one
I.Unif.12.4th	UBQ7	uninfiltrated	unifested	4th	twenty-one
I.Unif.13.2nd	UBQ7	uninfiltrated	infested	2nd	fourteen
I.Unif.15.2nd	UBQ7	uninfiltrated	unifested	2nd	fourteen
I.Unif.18.2nd	UBQ7	uninfiltrated	infested	2nd	twenty-one
I.Unif.19.2nd	UBQ7	uninfiltrated	unifested	2nd	fourteen
I.Unif.2.4th	UBQ7	uninfiltrated	infested	4th	twenty-one
I.Unif.20.2nd	UBQ7	uninfiltrated	unifested	2nd	twenty-one
I.Unif.23.2nd	UBQ7	uninfiltrated	unifested	2nd	fourteen
I.Unif.24.2nd	UBQ7	uninfiltrated	unifested	2nd	twenty-one
I.Unif.3.2nd	UBQ7	uninfiltrated	unifested	2nd	fourteen
I.Unif.7.2nd	UBQ7	uninfiltrated	unifested	2nd	fourteen
I.Unif.7.4th	UBQ7	uninfiltrated	unifested	4th	fourteen
I.Unif.8.2nd	UBQ7	uninfiltrated	unifested	2nd	twenty-one
I.Unif.9.2nd	UBQ7	uninfiltrated	infested	2nd	fourteen
Unif.21.2nd	UBQ7	uninfiltrated	infested	2nd	fourteen
