Sample	Group	Gene	Ct
I.Unif.2.4th	uninfiltrated	PP2A1	26.95
I.Unif.2.4th	uninfiltrated	TMN5	29.74
I.Unif.2.4th	uninfiltrated	UBQ14	27.1
I.Unif.2.4th	uninfiltrated	UBQ7	21.37
I.Unif.20.2nd	uninfiltrated	ACT7	21.47
I.Unif.20.2nd	uninfiltrated	PP2A1	26.82
I.Unif.20.2nd	uninfiltrated	TMN5	29.87
I.Unif.20.2nd	uninfiltrated	UBQ14	27.04
I.Unif.20.2nd	uninfiltrated	UBQ7	21.39
I.Unif.23.2nd	uninfiltrated	ACT7	22.51
I.Unif.23.2nd	uninfiltrated	PP2A1	28.6
I.Unif.23.2nd	uninfiltrated	TMN5	31.74
I.Unif.23.2nd	uninfiltrated	UBQ14	22.83
I.Unif.23.2nd	uninfiltrated	UBQ7	28.19
I.Unif.24.2nd	uninfiltrated	ACT7	23.78
I.Unif.24.2nd	uninfiltrated	PP2A1	30.29
I.Unif.24.2nd	uninfiltrated	TMN5	33.25
I.Unif.24.2nd	uninfiltrated	UBQ14	29.17
I.Unif.24.2nd	uninfiltrated	UBQ7	24.72
I.Unif.3.2nd	uninfiltrated	ACT7	20.42
I.Unif.3.2nd	uninfiltrated	PP2A1	27.39
I.Unif.3.2nd	uninfiltrated	TMN5	30.25
I.Unif.3.2nd	uninfiltrated	UBQ14	26.29
I.Unif.3.2nd	uninfiltrated	UBQ7	22.08
I.Unif.7.2nd	uninfiltrated	ACT7	20.69
I.Unif.7.2nd	uninfiltrated	PP2A1	26.5
I.Unif.7.2nd	uninfiltrated	TMN5	30.78
I.Unif.7.2nd	uninfiltrated	UBQ14	26.94
I.Unif.7.2nd	uninfiltrated	UBQ7	22.29
I.Unif.7.4th	uninfiltrated	ACT7	20.9
I.Unif.7.4th	uninfiltrated	PP2A1	26.71
I.Unif.7.4th	uninfiltrated	TMN5	30.55
I.Unif.7.4th	uninfiltrated	UBQ14	27.54
I.Unif.7.4th	uninfiltrated	UBQ7	21.5
I.Unif.8.2nd	uninfiltrated	ACT7	22.12
I.Unif.8.2nd	uninfiltrated	PP2A1	28.22
I.Unif.8.2nd	uninfiltrated	TMN5	31.6
I.Unif.8.2nd	uninfiltrated	UBQ14	27.27
I.Unif.8.2nd	uninfiltrated	UBQ7	23.78
I.Unif.9.2nd	uninfiltrated	ACT7	20.66
I.Unif.9.2nd	uninfiltrated	PP2A1	26.62
I.Unif.9.2nd	uninfiltrated	TMN5	30.21
I.Unif.9.2nd	uninfiltrated	UBQ14	26.34
I.Unif.9.2nd	uninfiltrated	UBQ7	21.93
I.GFP.10.4th	vigs_infiltrated	ACT7	20.87
I.GFP.10.4th	vigs_infiltrated	PP2A1	26.26
I.GFP.10.4th	vigs_infiltrated	TMN5	28.34
I.GFP.10.4th	vigs_infiltrated	UBQ14	26.53
I.GFP.10.4th	vigs_infiltrated	UBQ7	21.16
I.GFP.11.2nd	vigs_infiltrated	ACT7	20.19
I.GFP.11.2nd	vigs_infiltrated	PP2A1	26.44
I.GFP.11.2nd	vigs_infiltrated	TMN5	29.99
I.GFP.11.2nd	vigs_infiltrated	UBQ14	22.07
I.GFP.11.2nd	vigs_infiltrated	UBQ7	26.27
I.GFP.11.4th	vigs_infiltrated	ACT7	19.99
I.GFP.11.4th	vigs_infiltrated	PP2A1	26.06
